,fuel_id,unit_feature_id,surface_consumed,midstory_consumed,canopy_consumed,fdfm,lfm,wind_speed,wind_direction,wind_height,side_to_start_ignition,number_igniters,firing_technique,ignition_type,dash_length,gap_length,blackline_width,spacing_distance,igniter_velocity,ignition_time
2047,2018,2130,0.9544304013252258,,,0.06,0.9,6.0,262.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2048,2018,2130,0.9119648337364197,,,0.15,0.9,8.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2049,2018,2130,0.9157703518867493,,,0.15,0.9,8.0,247.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2050,2018,2130,0.9535377025604248,,,0.06,0.9,6.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2051,2018,2130,0.9482362866401672,,,0.09,0.9,8.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2052,2018,2130,0.9024572968482971,,,0.15,0.9,6.0,262.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2053,2018,2130,0.9123055934906006,,,0.12,0.9,4.0,262.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2054,2018,2130,0.9322447776794434,,,0.09,0.9,4.0,262.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2055,2018,2130,0.9156587719917297,,,0.12,0.9,6.0,247.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2056,2018,2130,0.9479047060012817,,,0.09,0.9,8.0,262.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2057,2018,2130,0.8983452320098877,,,0.15,0.9,6.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2058,2018,2130,0.9233768582344055,,,0.12,0.9,6.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2059,2018,2130,0.9298182725906372,,,0.09,0.9,4.0,247.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2060,2018,2130,0.9638437628746033,,,0.06,0.9,8.0,262.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2061,2018,2130,0.949004054069519,,,0.06,0.9,4.0,247.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2062,2018,2130,0.9092714786529541,,,0.12,0.9,4.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2063,2018,2130,0.8976629376411438,,,0.15,0.9,4.0,247.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2064,2018,2130,0.9392126798629761,,,0.09,0.9,6.0,247.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2065,2018,2130,0.9508445262908936,,,0.09,0.9,6.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2066,2018,2130,0.8800155520439148,,,0.15,0.9,4.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2067,2018,2130,0.9421899318695068,,,0.06,0.9,4.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2068,2018,2130,0.9352707862854004,,,0.12,0.9,8.0,247.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2069,2018,2130,0.9087000489234924,,,0.12,0.9,4.0,247.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2070,2018,2130,0.9585980772972107,,,0.06,0.9,8.0,247.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2071,2018,2130,0.9701444506645203,,,0.06,0.9,8.0,232.0,6.0,right,2,strip,dashes,,0.9143553794574825,3.047851264858275,3.047851264858275,0.44702726866338843,3420.5895429607954
2072,2022,2133,0.8261067271232605,,,0.07,0.9,6.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2073,2022,2133,0.7787203192710876,,,0.15,0.9,6.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2074,2022,2133,0.8104345202445984,,,0.09,0.9,4.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2075,2022,2133,0.7738141417503357,,,0.15,0.9,6.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2076,2022,2133,0.7057440280914307,,,0.09,0.9,2.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2077,2022,2133,0.6704221963882446,,,0.11,0.9,2.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2078,2022,2133,0.8213071823120117,,,0.07,0.9,4.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2079,2022,2133,0.6491845846176147,,,0.11,0.9,2.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2080,2022,2133,0.5679200887680054,,,0.15,0.9,2.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2081,2022,2133,0.7088838815689087,,,0.09,0.9,2.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2082,2022,2133,0.5664917826652527,,,0.15,0.9,2.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2083,2022,2133,0.7884553670883179,,,0.11,0.9,4.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2084,2022,2133,0.7695473432540894,,,0.07,0.9,2.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2085,2022,2133,0.7174035906791687,,,0.07,0.9,2.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2086,2022,2133,0.6916267275810242,,,0.15,0.9,4.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2087,2022,2133,0.8028444051742554,,,0.09,0.9,4.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
