,fuel_id,unit_feature_id,surface_consumed,midstory_consumed,canopy_consumed,fdfm,lfm,wind_speed,wind_direction,side_to_start_ignition,number_igniters,firing_technique,ignition_type,dash_length,gap_length,blackline_width,spacing_distance,igniter_velocity,ignition_time
1480,613,160,0.9616049528121948,0.7351455688476562,0.06363993883132935,0.15,1.0,5.364,255.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1481,613,160,0.9226459264755249,0.7123028635978699,0.05807352066040039,0.2,1.0,5.364,255.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1482,613,160,0.7690228819847107,0.5334930419921875,0.0342148095369339,0.24,0.9,3.129,255.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1483,613,160,0.7690228819847107,0.5334930419921875,0.0342148095369339,0.24,1.0,3.129,255.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1484,613,160,0.9628893136978149,0.7419556975364685,0.05525719001889229,0.15,0.9,6.705,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1485,613,160,0.578434407711029,0.35656896233558655,0.020756307989358902,0.3,1.0,3.129,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1486,613,160,0.9589293599128723,0.713197648525238,0.03473317250609398,0.15,0.9,6.705,285.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1487,613,160,0.9299086332321167,0.7027597427368164,0.03387788310647011,0.15,0.9,3.129,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1488,613,160,0.578434407711029,0.35656896233558655,0.020756307989358902,0.3,0.9,3.129,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1489,613,160,0.7444242238998413,0.5044801831245422,0.04564397782087326,0.3,1.0,6.705,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1490,613,160,0.9513866901397705,0.7263444662094116,0.040806226432323456,0.15,1.0,5.364,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1491,613,160,0.9282872080802917,0.702846348285675,0.04789387434720993,0.2,1.0,6.705,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1492,613,160,0.829310953617096,0.5793372392654419,0.027966182678937912,0.2,1.0,3.129,285.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1493,613,160,0.7962695956230164,0.603909432888031,0.06862365454435349,0.3,1.0,6.705,255.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1494,613,160,0.8621401190757751,0.6269240975379944,0.03305351361632347,0.2,1.0,3.129,255.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1495,613,160,0.7444242238998413,0.5044801831245422,0.04564397782087326,0.3,0.9,6.705,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1496,613,160,0.9466580748558044,0.7058354616165161,0.03046683594584465,0.15,1.0,5.364,285.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1497,613,160,0.550980269908905,0.3229278028011322,0.023072155192494392,0.3,1.0,3.129,285.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1498,613,160,0.8346388936042786,0.6181085705757141,0.03648669272661209,0.24,0.9,5.364,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1499,613,160,0.6934319138526917,0.45748117566108704,0.029740367084741592,0.3,1.0,6.705,285.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1500,613,160,0.6602268218994141,0.4285183846950531,0.027008159086108208,0.3,0.9,5.364,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1501,613,160,0.8930824398994446,0.6563161015510559,0.03373132646083832,0.2,0.9,5.364,285.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1502,613,160,0.9628893136978149,0.7419556975364685,0.05525719001889229,0.15,1.0,6.705,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
1503,613,160,0.848071277141571,0.6004453897476196,0.0370081290602684,0.2,0.9,3.129,270.0,right,2,strip,dashes,,,10.0,20.0,0.894054537326777,3274.7250250146612
