fuel_id,unit_feature_id,surface_consumed,midstory_consumed,canopy_consumed,fdfm,lfm,wind_speed,wind_direction,side_to_start_ignition,number_igniters,firing_technique,dash_length,gap_length,blackline_width,spacing_distance,igniter_velocity,ignition_time
153,295,0.947073221206665,0.21459627151489258,0.014896976761519909,0.1,0.8,2.235,328.0,left,5,strip,4.0,4.0,9.0,10.0,1.3410818059901655,2537.1794589294336
229,328,0.934129536151886,0.11580127477645874,0.017967142164707184,0.1,0.9,2.235,60.0,right,3,strip,4.0,4.0,10.0,10.0,2.0,11695.75611934706
229,328,0.9381746649742126,0.12574054300785065,0.015877192839980125,0.1,0.9,2.235,120.0,right,3,strip,4.0,4.0,10.0,10.0,2.0,11695.75611934706
229,328,0.9354760050773621,0.13428370654582977,0.013065301813185215,0.1,0.9,2.235,90.0,right,3,strip,4.0,4.0,10.0,10.0,2.0,11695.75611934706
287,330,0.044758446514606476,0.005041403230279684,0.00037001766031607985,0.2,1.0,2.235,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.03726819157600403,0.0032873284071683884,2.240759931737557e-05,0.1,0.9,4.47,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.029023773968219757,0.0017301494954153895,3.702125104609877e-05,0.15,0.9,6.705,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.032651957124471664,0.002504529897123575,0.00013191255857236683,0.15,0.9,4.47,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.02949581854045391,0.0021974006667733192,8.144674939103425e-05,0.2,0.9,4.47,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.044853150844573975,0.0034696031361818314,3.409852070035413e-05,0.2,1.0,2.235,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.038301385939121246,0.0024430330377072096,2.7278816560283303e-05,0.1,0.9,6.705,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.033761296421289444,0.0023672699462622404,4.9101869080914184e-05,0.15,0.9,4.47,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.0680367648601532,0.0062776291742920876,0.00034273884375579655,0.1,1.0,2.235,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.08191514760255814,0.007259627338498831,0.00027239846531301737,0.1,0.9,2.235,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.028411148115992546,0.002297975355759263,3.8580041291425005e-05,0.15,1.0,6.705,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.029040860012173653,0.002363193780183792,7.150947203626856e-05,0.2,0.9,4.47,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.030424736440181732,0.0020872559398412704,4.111307134735398e-05,0.15,1.0,4.47,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.07156449556350708,0.006723613478243351,0.0001854959555203095,0.15,0.9,2.235,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.02560311369597912,0.001884511555545032,6.507946091005579e-05,0.2,0.9,6.705,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.02908497117459774,0.00192031089682132,5.299884287524037e-05,0.15,0.9,6.705,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.032080572098493576,0.0024884911254048347,2.805821168294642e-05,0.1,0.9,6.705,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.051739539951086044,0.004075886681675911,7.014552829787135e-05,0.15,1.0,2.235,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.03170573338866234,0.0019703765865415335,1.8120928871212527e-05,0.1,1.0,6.705,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.05728793516755104,0.005534262862056494,0.00012528771185316145,0.15,0.9,2.235,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
